edge_u,edge_v,edge_key,W_e,affected_pairs
31445671,169123177,0,20.031200851694493,9
31445672,267307202,0,0.26690167910303225,9
31445672,31445671,0,0.20206320663805027,8
31445678,268948060,0,1.3620869487739453,20
31445679,264445074,0,0.04226674556179463,20
31445680,264445099,0,0.025650382579573985,2
31445680,80260467,0,0.0,0
61735532,61735536,0,10.160185223262273,7
61735536,264445073,0,0.16018522326227322,6
61735538,260650420,0,20.01107057879031,4
80260467,80260458,0,0.0,0
80260470,80260467,0,0.0,0
80260470,264445099,0,0.0,0
80260471,80260470,0,0.0,0
80260477,1161553746,0,0.0,3
80260477,80260471,0,30.0,3
80260497,644014334,0,0.01343345501468428,1
80260497,1161553746,0,30.0,3
169122070,611765076,0,10.210748048770554,4
169123163,611765069,0,0.2343029267340226,7
169123177,169123163,0,0.0,0
169123177,250298024,0,0.031200851694491993,7
178158296,267307202,0,0.15188282649042523,2
178158296,31445671,0,0.0588652222801295,1
239529767,239530273,0,0.15264032156602156,4
239530273,311844923,0,0.15264032156602156,4
239530922,311844923,0,0.0,0
239532064,264445100,0,0.3047077330871934,23
239532064,239529767,0,0.15264032156602156,4
250298024,1049001485,0,11.839908080560086,32
250298027,61735532,0,10.160185223262273,7
260650420,239530922,0,0.0,0
260650420,264445096,0,0.011070578790309364,2
264445067,1161553742,0,0.015944575244148246,2
264445067,597388184,0,0.24458930525777708,1
264445067,304036942,0,0.5171623700745547,7
264445070,304036942,0,0.0,0
264445071,61735538,0,0.06937682368651357,5
264445071,1161553207,0,20.0,2
264445073,264445071,0,50.01107057879031,7
264445074,264445078,0,0.0,0
264445074,31445678,0,0.04226674556179463,20
264445077,264445070,0,0.0,0
264445077,31445679,0,0.0,0
264445078,264445080,0,0.08436602636943122,2
264445080,264445073,0,0.08436602636943122,2
264445081,264445077,0,10.0,1
264445084,264445081,0,20.0,2
264445084,644014455,0,0.0,2
264445096,80260497,0,40.0,4
264445097,264445100,0,0.0,0
264445097,239529767,0,0.0,0
264445099,264445097,0,10.0,1
264445100,644014435,0,10.042266745561795,21
267307202,266096403,0,10.26690167910303,10
268948058,1161553694,0,10.0,1
268948058,268948087,0,0.0,1
268948058,268948060,0,0.0,0
268948060,1699170560,0,0.5029222806797472,17
268948087,268948058,0,10.0,1
268948087,7400735244,0,0.0,0
268948087,3714561820,0,0.0,1
268950465,250298027,0,0.0,0
268950465,169122070,0,10.210748048770554,4
270491826,270492488,0,0.0,0
270491826,348008066,0,0.0,0
270492035,2507348164,0,0.06394184615407067,2
270492401,270492035,0,0.0,0
270492401,1161553907,0,0.0,0
270492482,270492488,0,0.06607396206109803,1
270492488,4377356574,0,0.06607396206109803,1
304036942,5681870344,0,10.438263292553678,5
311844923,264445096,0,0.06167285118536256,2
338867740,615666562,0,0.0,0
338867740,338867742,0,0.0,0
338867742,31445680,0,0.025650382579573985,2
338867743,338867742,0,0.025650382579573985,2
338867743,338867740,0,0.0,0
597387201,1161552846,0,0.0,1
597387201,31445678,0,0.0,0
597388184,1161553742,0,0.0,0
597388184,1161552846,0,0.24458930525777708,1
611765069,250298027,0,0.2343029267340226,7
611765076,178158296,0,0.21074804877055472,3
615666562,338867740,0,0.0,0
615666562,338867736,0,0.0,1
644014334,1995685903,0,0.0,0
644014435,264445070,0,0.0,0
644014435,31445679,0,0.04226674556179463,20
644014455,264445084,0,20.0,2
644014455,1161553207,0,0.0,2
1106647407,1106647337,0,0.0,0
1161553207,61735538,0,0.0,0
1161553207,644014455,0,20.0,2
1161553694,268948058,0,0.0,1
1161553742,264445078,0,0.08436602636943122,2
1161553746,80260477,0,30.0,3
1161553746,644014334,0,0.0,0
1699170560,31445672,0,0.5029222806797472,17
1995685903,3835966904,0,0.0,0
1995685907,338867743,0,0.025650382579573985,2
2507348164,3196718108,0,10.14877129795674,10
3196718121,2507348164,0,0.2898008165942489,11
3835966904,270492401,0,0.0,0
4377356574,1995685907,0,10.025650382579574,3
28041755,2393697879,0,0.0,0
28041755,59638521,0,10.0,1
28041755,59638524,0,0.0,2
28043165,60661112,0,0.0,0
28043165,534196074,0,0.07439572878460943,3
28043165,3728937844,0,1.6731503585179957,21
28043165,86666643,0,0.0,22
28043605,4055255647,0,0.0,12
28043605,13238761680,0,1.3938129432063322,24
28043605,4055255643,0,0.0,13
31404640,1273327638,0,0.009912043568082993,1
31404640,31449090,0,0.012442549638653445,2
31404670,81382212,0,0.0,0
31404670,38441249,0,0.0,0
31446487,255408043,0,10.558789641998386,7
31446488,251615062,0,0.0,0
31446489,488147184,0,0.0,0
31446489,254462067,0,20.0,2
