edge_u,edge_v,edge_key,W_e,affected_pairs
1772729930,679955610,0,1911.4275252964103,218
1772733969,1772729930,0,1000.0,100
273000302,253487592,0,996.7048510926414,225
272994886,272994864,0,960.0,96
272994864,253490334,0,950.0,95
245918989,272608964,0,564.0647217099018,133
272608964,272608447,0,400.0,40
2967531373,304175102,0,334.8232110429672,92
253630889,6425162983,0,300.0,30
272608447,340157187,0,260.0,26
1598906556,250638693,0,243.82999471039474,339
304175102,308982940,0,194.82321104296713,78
248047383,10044178022,0,192.66377948429485,62
272994138,253486699,0,190.0,19
266720803,266720805,0,190.0,19
340157187,272608427,0,180.0,18
308982940,1253954672,0,164.8232110429671,75
246699676,4865907121,0,160.0,16
250638699,1465594890,0,155.43451101297714,237
250638693,506513856,0,143.82999471039457,329
253487592,6304483625,0,140.17340239216867,317
6304483625,253489413,0,140.17340239216867,317
253487529,4927334268,0,130.0,13
1465594890,250638701,0,122.96326766177137,118
6425162983,565334803,0,120.0,12
246699287,245941680,0,120.0,12
253756799,253756598,0,114.57794684797422,132
272994055,272616354,0,112.61959928940077,182
253486699,272994864,0,110.0,11
10044178022,472107734,0,100.0,10
266720805,272616126,0,100.0,10
253489413,9288702019,0,92.75354197282076,303
304175102,593815364,0,90.0,9
9288702019,209915965,0,86.12142977178098,296
272608964,245919228,0,81.96388212789337,86
209915965,209915966,0,81.43317130132603,125
272608447,272608537,0,80.0,8
6197779286,303467298,0,76.08448261183754,264
1253954672,2970434084,0,74.82321104296709,66
303467298,6197779285,0,70.55717215278766,117
272607684,272607683,0,70.0,7
245941680,5088273989,0,70.0,7
272608427,6029496305,0,70.0,7
6425162983,250572048,0,70.0,7
253489413,4927334272,0,60.0,6
253487606,253487529,0,59.639946991251236,51
506513856,250638699,0,54.795383500278305,245
253489498,1187250361,0,54.53535035227594,335
6197779285,479747262,0,54.49980704580901,117
250638701,7729453361,0,52.96326766177132,111
578156857,6197779286,0,52.36726105868787,264
209915966,2967531373,0,51.954358252696764,102
253489508,1624234922,0,49.47101514944343,431
248798136,95949496,0,47.99718429078512,325
253490334,253490396,0,46.666894518867615,101
2970434084,10711268019,0,44.82321104296715,63
253756598,255970810,0,44.57794684797415,125
10044178022,336114700,0,42.663779484294906,47
272616354,313138424,0,42.61959928940078,175
95949496,253489498,0,42.568073891022635,318
1187250361,1598906556,0,42.02872530058389,344
313138424,1670392327,0,41.963571239637474,152
272616126,272614897,0,40.0,4
565334803,248798140,0,40.0,4
1670392327,245918989,0,36.18437282041802,141
303467298,253489508,0,31.115262209651966,431
336114699,271012792,0,30.0,3
1624234922,253488594,0,29.471015149443407,429
6197778886,303467298,0,28.336729021765684,319
253490396,253490325,0,26.963496292240585,74
323130797,272994138,0,22.040269386451477,220
253488594,248798136,0,21.024458684053332,212
209915965,5821575730,0,19.647073614309075,160
253489681,253489927,0,18.44026889859006,252
1465594890,246699676,0,16.695229504495323,106
253486845,273000328,0,16.678065299210115,203
679955610,6197778886,0,16.217564265741057,319
10711268019,338033894,0,14.82321104296714,60
253490325,253489680,0,14.102608398201582,111
253487529,253488290,0,13.912173236904849,11
253487592,253487606,0,13.589918211780008,138
272994138,266720803,0,13.036713443380263,192
273000328,578156857,0,12.915267919031612,186
253489680,253489681,0,12.567469595716997,103
479747262,253487606,0,11.838394769299331,177
7729453361,5664642771,0,11.062787070547856,102
209915966,1186349802,0,10.271974431990554,10
