origin,dest,distance_original
679955610,246676922,4.80917039184366
273000302,253489974,4.247597401549811
253487516,250638699,4.5718876358690475
253486841,1187250361,4.18226308609589
273000302,253486699,4.729176960507403
253487516,5664642771,5.866616428373656
578156857,250638693,3.473077861827143
253486845,253489680,3.0580697690074494
1772729930,253490396,2.369706433093999
273000302,272994055,5.262771037278978
533699001,340157187,6.667753185693333
253486845,1624234922,1.2149394856583062
1772729930,253487529,1.7126455735276451
272994886,6425162983,6.14296109982099
1772733969,9058015692,3.443746509002224
272994886,5821575730,5.9858533629818345
272994886,4865907121,6.035110576181509
533699001,4927334268,2.6550868581126936
1772733969,1253954672,4.529733741601259
273000302,272998691,2.6303637247679483
273000302,6425162983,4.828597024080686
533699001,209915965,3.520482679185327
1772733969,5088273989,7.452672374559526
272994886,272608537,5.732039317501744
533699001,253634598,7.535553389854802
253486845,246698702,6.8075787818217295
1772733969,1187250361,3.537046405684144
1772733969,253489681,3.6743901594892248
679955610,272607683,7.296488841696897
253486845,253489505,1.8657391011488627
1772733969,272994864,5.518270566652087
272994886,336114700,6.460751496069477
1772733969,272998691,2.7823035749050193
1772733969,272608427,7.267998058487552
1772733969,253489974,4.617797663026054
272994886,593815364,6.962845384101066
1772733969,272608242,7.241455738663603
578156857,593815385,2.157242687502583
679955610,5088273989,6.855063188502328
272994886,593815385,5.686163751669307
679955610,308982940,3.836355161290237
253486841,253490092,5.072636631056623
253486845,253486699,4.650886266268464
272994886,1465594890,5.095298752329407
253486845,4865907121,5.897023288818034
578156857,11912323291,6.158921617677665
533699001,2970434084,5.129045078283132
253487516,271012792,7.1735980756175515
272994886,6425162983,6.14296109982099
253487516,253634598,7.871247756909061
253487516,272614897,6.4084122510513755
1772729930,11912323291,6.343759544085153
272994886,4927334268,4.670503950092642
273000302,336031616,7.8631670354549295
253486845,9156294611,7.690444000500859
273000302,253489979,3.878852109478104
533699001,565334803,6.8353936773571435
253486841,253489605,2.7127730671606374
253486845,272994864,5.288040022276077
273000302,253489511,2.7501666134387106
679955610,10044178022,5.700021944440108
1772729930,253487532,3.319944055716093
1772733969,253488290,2.3012833873236884
679955610,272616354,5.086160687854939
1772733969,4927334272,1.9248878749051326
1772733969,506513856,4.0347127755040555
1772733969,593815382,2.957944042685353
679955610,253489605,1.469947200691694
253486841,5821575723,3.597415435888741
1772729930,209915966,2.7552771068294506
533699001,253490334,2.5322693386680455
578156857,246699291,6.113481813981137
253486841,1670392327,6.868524572653137
253487516,272994138,4.889682147290832
679955610,1187076611,4.907473810024866
1772729930,10711268140,4.8802003267049345
1772733969,272994055,5.6176078216536105
273000302,253486702,4.477148195178304
533699001,253490396,2.209840844441708
578156857,253756598,2.6569779485318725
1772729930,246676922,5.096338466704072
253486845,11912323286,6.509034678046696
578156857,593815385,2.157242687502583
253486845,246699675,5.814234739924987
578156857,246699675,5.549186246696724
533699001,7729453361,6.254147771983654
578156857,5821575730,2.4569322988151114
253487516,248047383,6.044092360388166
533699001,255970810,4.238104232496191
253487516,1253954672,3.6825213388771605
273000302,245941680,6.814337040485176
533699001,5821575723,4.068679064349301
578156857,253489979,3.7537733333500736
679955610,245919228,6.120786905937156
272994886,479747256,6.271265130873664
1772733969,245919228,6.718396091994353
253487516,9156294606,8.104870788074907
578156857,384510536,7.484012300814569
533699001,250638693,4.5384867750801074
1772729930,253488298,3.6959518983866952
1772733969,253490282,2.5638654641931
578156857,253487529,1.0928440821337904
533699001,2970434084,5.129045078283132
272994886,5664642784,6.033382882645838
578156857,272608427,6.772719020883279
273000302,5664642771,5.595950291758964
253486841,253489976,4.9500429862837265
1772729930,245941680,6.874096190764634
1772729930,266720803,4.878464447728741
273000302,246699289,6.162642287994069
578156857,253488298,3.0761504069928405
679955610,593815364,3.7665577364677865
272994886,253489498,3.801877218032205
253486841,272994864,6.163487247063834
253486845,4865907121,5.897023288818034
273000302,9156294611,7.565837760502237
253486841,10044178022,6.942847810909052
253486841,272994864,6.163487247063834
253486845,1186349802,2.7281444820693594
273000302,209915965,1.819342770250402
1772733969,248047383,6.143626485249718
273000302,313138424,5.783420908407275
253486845,253490250,2.459603749878733
273000302,4865907121,5.757053571717802
253486841,253489505,2.74118632593662
253486845,11912323286,6.509034678046696
1772733969,253490092,4.427419950644877
533699001,84846978,7.343739127110947
253486841,245919230,7.636012916608625
272994886,5664642784,6.033382882645838
578156857,253634598,7.460139367064728
273000302,9058015692,2.325867969663434
533699001,9288702019,3.4008675852267425
679955610,250638693,3.370747713374219
273000302,336031616,7.8631670354549295
533699001,1465594890,5.757571884990635
578156857,6029496305,7.087232751676901
253486845,338033894,4.498669927654188
253487516,266720803,5.2941180327304735
253486845,250638701,5.0247091264007215
679955610,253490092,3.829810764587679
578156857,472107734,5.81236604510985
578156857,253490377,2.142980461245083
253486845,11912323282,6.46699252313016
253486841,253634598,8.600635085080748
1772733969,253634938,7.680060950326309
273000302,1253954672,3.4118552022624686
253486841,4927334272,2.0368856160407076
253487516,272608447,6.808646062102399
1772729930,253487529,1.7126455735276451
1772733969,11912323282,6.6972230675061715
272994886,253756598,6.185899012698595
578156857,250572048,5.2098564581266285
679955610,10711268140,4.593032251844522
253486841,272994138,5.429686353897631
578156857,253634598,7.460139367064728
272994886,250572048,6.336584597118782
253486845,246698702,6.8075787818217295
253487516,1119714822,4.545882251617871
272994886,272616354,4.445553735181646
679955610,253490250,2.092225108197547
272994886,272994138,3.5462535347553943
272994886,253489505,2.658260892043119
1772733969,245941680,7.18453730196142
533699001,304175102,4.9339913311633605
253486841,2967531373,4.022125306532001
578156857,245919230,6.495517198592603
1772729930,272607683,7.58365691655731
273000302,250638699,4.301221499254355
679955610,5821575723,2.8878085086959695
533699001,245919228,6.2985310771801535
578156857,9288702019,1.8873636130399678
1772733969,1465594890,5.187442009341944
253486845,248047383,5.9133959408737065
253486841,253487532,3.8406382823382583
679955610,272998691,2.1846943888478223
679955610,340157187,6.490009014450336
273000302,271012792,6.902931939002859
272994886,253489979,3.2899918161635147
578156857,1670392327,5.728028854637116
273000302,1670392327,5.868471107866758
679955610,250572048,5.542489874660072
1772729930,246699287,6.836617132700063
679955610,253489605,1.469947200691694
273000302,338033894,4.046785481838243
273000302,253489974,4.247597401549811
273000302,250638699,4.301221499254355
1772729930,253489605,1.757115275552106
253486841,248047383,6.788843165661464
253486841,5088273987,6.986640742477562
253486845,95949496,2.9536431071814904
578156857,253722066,5.711747461762451
253486845,250572048,5.474104967194423
272994886,253488594,3.468946222722365
679955610,253488290,1.7036742012664914
273000302,250638699,4.301221499254355
253486841,272608964,7.081152601745864
273000302,253634938,7.3098606888500655
