,node_id_origin,node_id_dest
0,271861188,8042032530
1,389455180,335783097
2,922432663,8213954583
3,248766763,5713842258
4,922432663,1151587554
5,253315625,8291855085
6,253315625,963377692
7,308237554,343216796
8,922432663,10843033187
9,922432663,4393100992
10,4944601512,1997570457
11,308237554,331688944
12,922432663,9221807927
13,271861188,7490105690
14,679848584,9143354788
15,248766763,13185153062
16,314935771,269100558
17,4944601512,5260312454
18,389455180,96934956
19,314935771,7991093907
20,308237554,12175457407
21,314935771,257568446
22,922432663,5270014294
23,308237554,5785028665
24,5821263976,1439407481
25,5821263976,5305170451
26,5821263976,1148726319
27,308237554,1156577423
28,308237554,595076586
29,308237554,595266578
30,679848584,6525013579
31,679848584,6579077960
32,248766763,1077659971
33,314935771,38652236
34,253315625,7306246513
35,679848584,5271842997
36,4944601512,1651495118
37,922432663,8274836655
38,308237554,6906416307
39,922432663,297477811
40,4944601512,3891905917
41,922432663,3982672243
42,5821263976,5597061554
43,271861188,5269194733
44,253315625,6833437596
45,314935771,39535819
46,679848584,247780098
47,253315625,1398816010
48,679848584,255616695
49,389455180,1049044971
50,271861188,5293635210
51,253315625,257568459
52,248766763,945706044
53,5821263976,9459969309
54,248766763,2000514869
55,248766763,6366172015
56,308237554,259958881
57,5821263976,1271429994
58,5821263976,5540881604
59,389455180,51295379
60,922432663,2507294515
61,253315625,595756130
62,308237554,2384966586
63,5821263976,548148721
64,5821263976,298714438
65,271861188,1333568371
66,271861188,4972462875
67,271861188,255183326
68,5821263976,964642006
69,308237554,1243258739
70,314935771,3491746680
71,4944601512,1529260419
72,248766763,5271449803
73,922432663,6344332894
74,248766763,7555655928
75,4944601512,253886153
76,4944601512,4243405322
77,4944601512,888410529
78,253315625,270722830
79,389455180,963377692
80,314935771,6835365757
81,5821263976,322032789
82,922432663,983140415
83,389455180,1395755606
84,314935771,253032981
85,271861188,287532646
86,922432663,1392017389
87,253315625,1239457843
88,248766763,267420601
89,248766763,10843033192
90,271861188,5304245425
91,922432663,1483917671
92,5821263976,390275790
93,389455180,8575490629
94,389455180,5244181753
95,389455180,446092566
96,679848584,7996037813
97,922432663,5700540286
98,308237554,2673196277
99,679848584,10132530095
100,922432663,5291420964
101,5821263976,2889670237
102,679848584,5260312500
103,271861188,188469073
104,922432663,311974155
105,271861188,5479959334
106,308237554,619105589
107,922432663,9422711615
108,308237554,307827511
109,308237554,1668718626
110,253315625,595077043
111,271861188,309435652
112,5821263976,308358888
113,271861188,5462909512
114,922432663,817668517
115,314935771,335081753
116,253315625,1635176154
117,4944601512,76459473
118,308237554,305701249
119,314935771,713681045
120,248766763,1151549129
121,271861188,454164402
122,922432663,277697016
123,679848584,2004026612
124,308237554,278546457
125,253315625,480251922
126,308237554,309200421
127,314935771,38652236
128,922432663,3688689057
129,253315625,966270401
130,922432663,3142728904
131,5821263976,8172423475
132,922432663,9097873438
133,253315625,5270014311
134,389455180,277489800
135,922432663,306551998
136,5821263976,5352172989
137,308237554,633521669
138,308237554,4161735913
139,5821263976,261806374
140,308237554,2322474246
141,271861188,301131835
142,4944601512,2444211666
143,308237554,1151549153
144,5821263976,312296863
145,271861188,569938511
146,922432663,1978133603
